grouping,total_hh_income_2018,total_cocoa_income_2018,benchmark,food_value,below_benchmark,fgt_gap,total_hh_income_2018_including_food_value,below_benchmark_with_food,fgt_gap_with_food
Female-headed,768.8762,768.8762,4001,450,1,0.807828993,1218.8762,1,0.695357111
Female-headed,452.3509,316.6456,4001,450,1,0.88694054,902.3509,1,0.774468658
Female-headed,64.4707,64.4707,4001,450,1,0.983886353,514.4707,1,0.871414471
Female-headed,846.3533,846.3533,4001,450,1,0.788464559,1296.3533,1,0.675992677
Female-headed,407.0356,325.6285,4001,450,1,0.898266533,857.0356,1,0.785794651
Female-headed,283.2484,169.949,4001,450,1,0.929205599,733.2484,1,0.816733717
Female-headed,418.675,293.0725,4001,450,1,0.895357411,868.675,1,0.782885529
Female-headed,890.6438,445.3219,4001,450,1,0.777394701,1340.6438,1,0.664922819
Female-headed,2312.276,462.4551,4001,450,1,0.422075481,2762.276,1,0.309603599
Female-headed,282.7728,212.0796,4001,450,1,0.929324469,732.7728,1,0.816852587
Female-headed,1268.561,443.9963,4001,450,1,0.682939015,1718.561,1,0.570467133
Female-headed,4362.134,3707.814,4001,450,0,0,4812.134,0,0
Female-headed,491.2499,245.6249,4001,450,1,0.87721822,941.2499,1,0.764746338
Female-headed,1336.34,668.17,4001,450,1,0.6659985,1786.34,1,0.553526618
Female-headed,940.5884,329.2059,4001,450,1,0.764911672,1390.5884,1,0.65243979
Female-headed,336.1763,84.04408,4001,450,1,0.915976931,786.1763,1,0.803505049
Female-headed,1162.959,407.0356,4001,450,1,0.709332917,1612.959,1,0.596861035
Female-headed,165.5512,82.77562,4001,450,1,0.958622544,615.5512,1,0.846150662
Female-headed,7097.829,2129.349,4001,450,0,0,7547.829,0,0
Female-headed,273.3688,273.3688,4001,450,1,0.931674881,723.3688,1,0.819202999
"Male-headed, large",3532.989,3179.69,5123,450,1,0.310367168,3982.989,1,0.222528011
"Male-headed, large",1787.907,893.9534,5123,450,1,0.651003904,2237.907,1,0.563164747
